,Solvent 1,Solvent 2,Solvent 3,Solvent 4,Weights,M,Salt,Molality,Slope,Intercept,Goodness
4769,CC1COC(=O)O1,nan,nan,nan,[0.99904],[102.0316941],N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.005004192,-801.6369081,-1.262028576,0.998158352
4777,CC1COC(=O)O1,nan,nan,nan,[0.99961594],[102.0316941],N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.002000836,-949.8765575,-1.09167152,0.997146231
4785,CC1COC(=O)O1,nan,nan,nan,[0.99980797],[102.0316941],N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.001000226,-909.7617734,-1.49396171,0.993191333
4793,COC(OC)=O,O=C1OCCO1,nan,nan,"[0.577052667, 0.288526333]","[90.03169405, 88.01604399]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.808734567,-876.6670903,0.092098052,0.998754843
4800,COC(OC)=O,O=C1OCCO1,nan,nan,"[0.602656667, 0.301328333]","[90.03169405, 88.01604399]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.553125216,-834.6341476,-0.108135493,0.999054578
4807,COC(OC)=O,O=C1OCCO1,nan,nan,"[0.641062667, 0.320531333]","[90.03169405, 88.01604399]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.207995016,-685.4031332,-0.534783197,0.996438827
4814,COC(OC)=O,O=C1OCCO1,nan,nan,"[0.653864667, 0.326932333]","[90.03169405, 88.01604399]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.101961343,-653.8225028,-0.900779396,0.983177721
4821,COC(OC)=O,O=C1OCCO1,nan,nan,"[0.660265667, 0.330132833]","[90.03169405, 88.01604399]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.050486435,-613.8533524,-1.068528927,0.997863707
4828,COC(OC)=O,O=C1OCCO1,nan,nan,"[0.664106267, 0.332053133]","[90.03169405, 88.01604399]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.020077787,-593.5471874,-1.447305458,0.996737565
4835,COC(OC)=O,O=C1OCCO1,nan,nan,"[0.665386467, 0.332693233]","[90.03169405, 88.01604399]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.010019579,-578.5471741,-1.749730088,0.997462961
4842,COC(OC)=O,O=C1OCCO1,nan,nan,"[0.666026567, 0.333013283]","[90.03169405, 88.01604399]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.005004975,-524.9369293,-2.119918285,0.998135669
4849,COC(OC)=O,O=C1OCCO1,nan,nan,"[0.666410627, 0.333205313]","[90.03169405, 88.01604399]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.002000836,-430.4733506,-2.728239585,0.991266006
4856,COC(OC)=O,O=C1OCCO1,nan,nan,"[0.666538647, 0.333269323]","[90.03169405, 88.01604399]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.001000226,-326.1577625,-3.453661113,0.956847797
4901,OCCOC(NCCCOCCOCCOCCCNC(CCO)=O)=O,nan,nan,nan,[0.8],[384.2],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.871282634,-2821.409904,4.327028935,0.995666388
4909,OCCOC(NCCCOCCOCCOCCCNC(CCO)=O)=O,nan,nan,nan,[0.7],[384.2],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.493627372,-2940.165855,4.593986306,0.995625342
4918,OCCOC(NCCCOCCOCCOCCCNC(CCO)=O)=O,nan,nan,nan,[0.6],[384.2],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],2.323420357,-3146.134094,5.091926036,0.997898223
4926,OCCOC(NCCCOCCOCCOCCCNC(CCO)=O)=O,nan,nan,nan,[0.4],[384.2],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],5.227695804,-3204.732405,5.082116213,0.997631739
